Sequential Scan - Query 150: id=112980, x=87.82, y=105.40
Best First - Query 150: id=112980, x=87.82, y=105.40
Divide and Conquer - Query 150: id=112980, x=87.82, y=105.40
Sequential Scan - Query 151: id=112509, x=2.06, y=156.95
Best First - Query 151: id=112509, x=2.06, y=156.95
Divide and Conquer - Query 151: id=112509, x=2.06, y=156.95
Sequential Scan - Query 152: id=12084, x=6.79, y=86.00
Best First - Query 152: id=12084, x=6.79, y=86.00
Divide and Conquer - Query 152: id=12084, x=6.79, y=86.00
Sequential Scan - Query 153: id=111624, x=26.73, y=155.93
Best First - Query 153: id=111624, x=26.73, y=155.93
Divide and Conquer - Query 153: id=111624, x=26.73, y=155.93
Sequential Scan - Query 154: id=83608, x=12.95, y=127.85
Best First - Query 154: id=83608, x=12.95, y=127.85
Divide and Conquer - Query 154: id=83608, x=12.95, y=127.85
Sequential Scan - Query 155: id=76849, x=10.89, y=122.87
Best First - Query 155: id=76849, x=10.89, y=122.87
Divide and Conquer - Query 155: id=76849, x=10.89, y=122.87
Sequential Scan - Query 156: id=93335, x=82.06, y=134.42
Best First - Query 156: id=93335, x=82.06, y=134.42
Divide and Conquer - Query 156: id=93335, x=82.06, y=134.42
Sequential Scan - Query 157: id=38678, x=76.03, y=119.75
Best First - Query 157: id=38678, x=76.03, y=119.75
Divide and Conquer - Query 157: id=38678, x=76.03, y=119.75
Sequential Scan - Query 158: id=100758, x=75.28, y=116.22
Best First - Query 158: id=100758, x=75.28, y=116.22
Divide and Conquer - Query 158: id=100758, x=75.28, y=116.22
Sequential Scan - Query 159: id=911, x=25.99, y=93.27
Best First - Query 159: id=911, x=25.99, y=93.27
Divide and Conquer - Query 159: id=911, x=25.99, y=93.27
Sequential Scan - Query 160: id=96266, x=79.09, y=125.85
Best First - Query 160: id=96266, x=79.09, y=125.85
Divide and Conquer - Query 160: id=96266, x=79.09, y=125.85
Sequential Scan - Query 161: id=132459, x=78.96, y=105.63
Best First - Query 161: id=132459, x=78.96, y=105.63
Divide and Conquer - Query 161: id=132459, x=78.96, y=105.63
